source,title,make,model,year,mileage,price,location
Jiji,Nissan Note,Nissan,Note,2014,95871,700000.0,"Mombasa, Tudor"
Jiji,Nissan Tiida,Nissan,Tiida,2014,78000,780000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Note,Nissan,Note,2014,84000,750000.0,"Mombasa, Ganjoni"
Jiji,Nissan Note,Nissan,Note,2014,,800000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Latio,Nissan,Latio,2014,,900000.0,"Nairobi, Nairobi Central"
Jiji,Nissan Bluebird,Nissan,Bluebird,2014,,1200000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Cube,Nissan,Cube,2015,,750000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Sunny,Nissan,Sunny,2013,100000,1070000.0,"Mombasa, Tudor"
Jiji,Nissan Dualis,Nissan,Dualis,2014,85000,1800000.0,"Mombasa, Ganjoni"
Jiji,Nissan Cube,Nissan,Cube,2014,68980,750000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Note,Nissan,Note,2014,35572,790000.0,"Nairobi, Ridgeways"
Jiji,Nissan Note,Nissan,Note,2014,12000,850000.0,"Nairobi, Kilimani"
Jiji,Nissan Note,Nissan,Note,2015,63200,780000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan X-Trail,Nissan,X-Trail,2014,98000,2400000.0,"Nairobi, Kilimani"
Jiji,Nissan X-Trail,Nissan,X-Trail,2013,153000,1600000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Juke,Nissan,Juke,2014,52398,1350000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Note,Nissan,Note,2014,99000,860000.0,"Kiambu, Kiambu / Kiambu"
Jiji,Nissan Note,Nissan,Note,2014,65400,770000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Note,Nissan,Note,2014,102000,760000.0,"Mombasa, Ganjoni"
Jiji,Nissan Fuga,Nissan,Fuga,2014,99678,1995000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Wingroad,Nissan,Wingroad,2014,75000,800000.0,"Mombasa, Ganjoni"
Jiji,Nissan Note,Nissan,Note,2014,83300,780000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Juke,Nissan,Juke,2014,75236,1400000.0,"Nairobi, Kilimani"
Jiji,Nissan Juke,Nissan,Juke,2013,81296,1280000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Teana,Nissan,Teana,2014,96548,1400000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Navara,Nissan,Navara,2015,87412,2300000.0,"Mombasa, Tudor"
Jiji,Nissan Bluebird,Nissan,Bluebird,2012,59500,1000000.0,"Nairobi, Kileleshwa"
Jiji,Nissan Note,Nissan,Note,2014,114000,850000.0,"Mombasa, Makadara (Msa)"
Jiji,Nissan Advan,Nissan,Advan,2013,65721,580000.0,"Mombasa, Mvita"
Jiji,Nissan Nv100,Nissan,Nv100,2013,140000,690000.0,"Nairobi, Kilimani"
Jiji,Nissan X-Trail,Nissan,X-Trail,2014,89000,1950000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Juke,Nissan,Juke,2014,60000,1350000.0,"Mombasa, Tononoka"
Jiji,Nissan Sylphy,Nissan,Sylphy,2014,18000,1220000.0,"Nairobi, Ridgeways"
Jiji,Nissan Serena,Nissan,Serena,2014,87500,1300000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan Teana,Nissan,Teana,2014,85636,1350000.0,"Mombasa, Ganjoni"
Jiji,Nissan March,Nissan,March,2014,52000,650000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan March,Nissan,March,2014,58400,590000.0,"Mombasa, Mvita"
Jiji,Nissan Note,Nissan,Note,2014,68953,900000.0,"Mombasa, Mombasa CBD"
Jiji,Nissan March,Nissan,March,2014,80000,630000.0,"Nairobi, Ridgeways"
Jiji,Nissan Teana,Nissan,Teana,2015,,1500000.0,"Mombasa, Shimanzi"
Jiji,Nissan Wingroad,Nissan,Wingroad,2013,,950000.0,"Nairobi, Kilimani"
Jiji,Nissan Serena,Nissan,Serena,2014,52006,1350000.0,"Mombasa, Ganjoni"
Jiji,Nissan Advan,Nissan,Advan,2014,186000,680000.0,"Nairobi, Nairobi Central"
Jiji,Nissan X-Trail,Nissan,X-Trail,2014,49000,2490000.0,"Nairobi, Kilimani"
Jiji,Nissan Note,Nissan,Note,2014,68953,780000.0,"Mombasa, Ganjoni"
Jiji,Nissan Lafesta,Nissan,Lafesta,2014,78452,1200000.0,"Mombasa, Ganjoni"
Jiji,Nissan Advan,Nissan,Advan,2007,198574,300000.0,"Kiambu, Kiambu / Kiambu"
Jiji,Nissan Wingroad,Nissan,Wingroad,2012,107000,760000.0,"Nairobi, Westlands"
Jiji,Nissan Note,Nissan,Note,2014,65000,800000.0,"Nairobi, Nairobi Central"
Jiji,Nissan Juke,Nissan,Juke,2012,89652,1100000.0,"Mombasa, Mvita"
Jiji,Nissan Tiida,Nissan,Tiida,2014,,780000.0,"Mombasa, Mombasa CBD"
